Symbol,Annualized_Volatility
ALOKINDS.NS,0.5258795192768747
ALPA.NS,0.5548548797631228
ALPEXSOLAR.NS,0.6218387821641809
ALPHA.NS,0.20746151427361723
ALPHAGEO.NS,0.5308651367878157
ALUWIND.NS,0.511483784622315
AMBER.NS,0.4535962522888647
AMBICAAGAR.NS,0.4721191645575415
AMBIKCO.NS,0.3833941395499702
AMBUJACEM.NS,0.3318023502553437
AMDIND.NS,0.5869685782726708
AMEYA.NS,0.5593580566531311
AMIABLE.NS,0.5523016260590357
AMJLAND.NS,0.5155223515908688
AMNPLST.NS,0.5481150568205487
AMRUTANJAN.NS,0.3439258791367085
ANANDRATHI.NS,0.2927148143651638
ANANTRAJ.NS,0.5325418794758504
ANDHRAPAP.NS,0.3778042406219216
ANDHRSUGAR.NS,0.4104115331344655
ANGELONE.NS,0.5146463161770737
ANIKINDS.NS,0.5528642480891731
ANKITMETAL.NS,0.6271055961967683
ANLON.NS,0.5948582188333051
ANMOL.NS,0.458051783825542
ANNAPURNA.NS,0.5123243284647012
ANSALAPI.NS,0.49190551179516384
ANTELOPUS.NS,0.5405462189774383
ANTGRAPHIC.NS,0.5608997548652558
ANUP.NS,0.47762447481156944
ANURAS.NS,0.3035306529957066
APARINDS.NS,0.46825437294568234
APCL.NS,0.4483457787837352
APCOTEXIND.NS,0.4491296412789536
APEX.NS,0.5007921974827245
APLAPOLLO.NS,0.3825461269850251
APLLTD.NS,0.3392634357107106
APOLLO.NS,0.5712170315517174
APOLLOHOSP.NS,0.3099257034750319
APOLLOPIPE.NS,0.4285932986399269
APOLLOTYRE.NS,0.35506116677219257
APOLSINHOT.NS,0.5069018155834687
APS.NS,0.5864161431867756
APTECHT.NS,0.5049488798652628
APTUS.NS,0.3651798951014583
AQYLON.NS,0.4719227378263606
ARABIAN.NS,0.4457357656014388
ARCHIDPLY.NS,0.5693086529780981
ARCHIES.NS,0.5234863357351002
ARE&M.NS,0.33868869031954707
ARENTERP.NS,0.6016128143779228
ARIES.NS,0.5049127058112973
ARIHANT.NS,0.5853343557580557
ARIHANTACA.NS,0.5170296646138213
ARIHANTCAP.NS,0.535475448774559
ARIHANTSUP.NS,0.49389817120048896
ARISTO.NS,0.6091296917419764
ARMANFIN.NS,0.49441203192925964
AROGRANITE.NS,0.5116001897252205
ARROWGREEN.NS,0.5762891927247743
ARSHIYA.NS,0.5772593973961658
ARTEMISMED.NS,0.47142197627109567
ARTNIRMAN.NS,0.49502652472680464
ARVEE.NS,0.5704145558509142
ARVIND.NS,0.48339524006959866
ARVINDFASN.NS,0.4425082798291897
ARVSMART.NS,0.4827097206989363
ASAHIINDIA.NS,0.41465111972511676
ASAHISONG.NS,0.5044488582663156
ASAL.NS,0.5385759340322495
ASALCBR.NS,0.432380022444987
ASCOM.NS,0.36860747807368466
ASHAPURMIN.NS,0.5597712286820035
ASHIANA.NS,0.43488966255481665
ASHIMASYN.NS,0.5853600124358699
ASHOKA.NS,0.46460748872848157
ASHOKAMET.NS,0.5101994666814998
ASHOKLEY.NS,0.3827891083878209
ASIANENE.NS,0.5122673214108971
ASIANHOTNR.NS,0.46159767880513974
ASIANPAINT.NS,0.25338986947465875
ASIANTILES.NS,0.4821064679634436
ASKAUTOLTD.NS,0.35968512669775166
ASMS.NS,0.5251291566936399
ASPINWALL.NS,0.5184859065923481
ASPIRE.NS,0.600360815615684
ASTEC.NS,0.4816016624301319
ASTERDM.NS,0.38696853203524445
ASTRAL.NS,0.34676671693166067
ASTRAMICRO.NS,0.46654799690820303
ASTRAZEN.NS,0.36651040302881177
ASTRON.NS,0.47454185659493403
ATALREAL.NS,0.5320368880547287
ATAM.NS,0.48247392201514244
ATGL.NS,0.5355003198622748
ATL.NS,0.4922310141133482
ATLANTAA.NS,0.5605780957902475
ATLASCYCLE.NS,0.33111695319358775
ATMASTCO.NS,0.6136571755019294
ATUL.NS,0.29709949562126037
ATULAUTO.NS,0.46047054897927064
AUBANK.NS,0.3889589047396173
AURIGROW.NS,0.5946870065039066
AURIONPRO.NS,0.5569383819626569
AUROIMPEX.NS,0.6245424952989891
AUROPHARMA.NS,0.3578556987317988
AURUM.NS,0.4925272455484825
AUSOMENT.NS,0.5917675565775615
AUTOAXLES.NS,0.3989209961922877
AUTOIND.NS,0.5325320160075687
AVADHSUGAR.NS,0.4961128681627764
AVALON.NS,0.486349579975087
AVANTIFEED.NS,0.43254383458718165
AVG.NS,0.5114235624232623
AVONMORE.NS,0.5042123425653748
AVPINFRA.NS,0.6025394053694796
AVROIND.NS,0.484432455049255
AVSL.NS,0.27924810358981034
AVTNPL.NS,0.43092335566537643
