Symbol,Risk_Contribution,Risk_Contribution_Pct
BANARISUG.NS,6.0159373301702604e-05,0.00037367880035994505
BANCOINDIA.NS,0.00010853757293948043,0.0006741790651076682
BANDHANBNK.NS,0.00010374347573943847,0.0006444006217462919
BANG.NS,8.665898449944542e-05,0.0005382806301149975
BANKA.NS,6.662903101048208e-05,0.00041386495587775467
BANKBARODA.NS,9.349073451652521e-05,0.0005807159151027346
BANKINDIA.NS,0.00010189344048209265,0.0006329091630151381
BANSWRAS.NS,9.247391642942647e-05,0.0005743999689397681
BASF.NS,6.690404500043328e-05,0.0004155732000333542
BASILIC.NS,5.4254656577116026e-05,0.0003370017649951772
BASML.NS,0.0001280348506859781,0.00079528603412574
BATAINDIA.NS,6.18651727660946e-05,0.00038427434121293783
BAWEJA.NS,4.1341522010734744e-05,0.00025679207581752526
BAYERCROP.NS,4.0460408169964586e-05,0.0002513190539935061
BBL.NS,0.00010192286692963766,0.0006330919448330657
BBOX.NS,8.599179493536296e-05,0.0005341363948572816
BBTC.NS,9.435366972442142e-05,0.0005860760206952224
BBTCL.NS,4.625615667003538e-05,0.00028731923530911016
BCG.NS,6.416434639875059e-05,0.00039855561439976797
BCLIND.NS,9.041059000334688e-05,0.0005615836561802971
BCONCEPTS.NS,6.852997626355763e-05,0.00042567264107681407
BDL.NS,0.00010047867460487546,0.0006241213717404949
BEARDSELL.NS,8.345777168509228e-05,0.0005183963577479097
BECTORFOOD.NS,5.5151378178058504e-05,0.00034257173412395386
BEDMUTHA.NS,7.020039190380468e-05,0.0004360483959807027
BEL.NS,8.699880122240323e-05,0.0005403913952112411
BEML.NS,0.00011185078624978393,0.0006947590264201271
BEPL.NS,0.00010668583364931732,0.0006626770218091562
BERGEPAINT.NS,4.487057034115339e-05,0.0002787126922426599
BESTAGRO.NS,6.627179651776567e-05,0.00041164600063671523
BEWLTD.NS,5.1045352062505915e-05,0.00031706723118620677
BFINVEST.NS,0.00011700634368966897,0.0007267826731702589
BFSI.NS,2.0999975165073264e-05,0.00013044094538549868
BFUTILITIE.NS,0.00013432324736931462,0.0008343462902396469
BGRENERGY.NS,0.00011386549200356226,0.0007072733328005239
