Symbol,Mean_Return,Annualized_Return,Volatility,Annualized_Volatility,Sharpe,Observations
ACCELYA.NS,0.0002717389124170153,0.06847820592908786,0.02162292563054845,0.34325330301645424,0.19949758772111592,1599
ACCENTMIC.NS,0.0009816232401902818,0.247369056527951,0.03018027026310303,0.47909693770133116,0.5163236018890206,617
ACCORD.NS,0.0014646205951514776,0.36908438997817233,0.025983148640379435,0.41246969748522017,0.8948157700515625,1599
ACCURACY.NS,0.0010230998537835954,0.25782116315346604,0.03427240516843552,0.5440575654463509,0.4738858156341355,1599
ACE.NS,0.0021441102575711015,0.5403157849079175,0.031156171310399446,0.4945888865534539,1.092454358756647,1599
ACEINTEG.NS,0.0008850824087536276,0.22304076700591413,0.028060218408420257,0.44544215785701996,0.5007176870706225,1599
ACI.NS,0.0004267577656572619,0.10754295694563,0.023260219863920392,0.3692445432037081,0.2912513100736597,882
ACL.NS,0.0009548797410409071,0.24062969474230858,0.032862340314113364,0.5216734798242971,0.46126495604751494,1599
ACUTAAS.NS,0.002003199364676109,0.5048062398983795,0.028318436376676005,0.44954124102533843,1.122936437927229,1176
ADANIENSOL.NS,0.001681534661041225,0.4237467345823887,0.032099398878315505,0.509562160000131,0.8315898782246307,1599
ADANIENT.NS,0.002497823147191344,0.6294514330922186,0.029508967633322912,0.46844033882416003,1.3437173977634276,1599
ADANIGREEN.NS,0.0020469402637476137,0.5158289464643987,0.03194958732731327,0.5071839753552703,1.0170450399247588,1599
ADANIPORTS.NS,0.0014474193551058405,0.3647496774866718,0.023454147351153812,0.3723230466253038,0.9796591449084976,1599
ADANIPOWER.NS,0.0024659900835119677,0.6214295010450158,0.03318855985668033,0.5268520545189458,1.1795142406959505,1599
ADFFOODS.NS,0.0014556148412783714,0.3668149400021496,0.02990120973148316,0.4746669890969332,0.7727837587779697,1599
ADL.NS,0.0012554004687414073,0.3163609181228346,0.030167282296008405,0.4788907601155191,0.6606118648990457,1411
ADOR.NS,0.001272798540274201,0.3207452321490986,0.02715839791467278,0.4311262013349561,0.743970631234962,1599
ADROITINFO.NS,0.0010104648199536687,0.25463713462832455,0.034220547812731913,0.5432343554453039,0.4687426928652029,1599
ADSL.NS,0.0017383034333836376,0.4380524652126767,0.03556575991498206,0.5645889355444335,0.7758785864095308,1599
ADVANIHOTR.NS,0.0009130099079850015,0.2300784968122204,0.027680136446001785,0.4394085437547359,0.5236095203024614,1599
ADVENZYMES.NS,0.0008632218605798036,0.21753190886611048,0.026260478837497738,0.4168721778809615,0.5218192060018625,1599
AEGISLOG.NS,0.0015228645868141755,0.3837618758771722,0.031251562603115554,0.4961031763800607,0.7735525474305274,1599
AEROENTER.NS,0.0011749098251789135,0.2960772759450862,0.032034787465861164,0.5085364856248662,0.5822144218055074,882
AEROFLEX.NS,0.002070259564075011,0.5217054101469029,0.03282848800281849,0.5211360910423513,1.0010924576407918,688
AERONEU.NS,0.0005322341852751856,0.1341230146893468,0.030669819837812837,0.48686829627604866,0.2754811017994497,844
AETHER.NS,0.0006243768610932159,0.1573429689954904,0.020299513345221867,0.3222447842825635,0.48827157698081686,997
AFFLE.NS,0.0012665677897528036,0.31917508301770653,0.02498069197009327,0.39655619118704977,0.8048672296914318,1599
AFSL.NS,0.00038505980880332665,0.09703507181843832,0.026079160151104747,0.41399383296749287,0.2343877229351327,858
AGARIND.NS,0.0017532942332442784,0.44183014677755816,0.03461113525151596,0.5494347388147933,0.8041540069538502,1599
AGARWALFT.NS,4.848486544818091e-05,0.012218186092941589,0.03193123323203779,0.5068926131254392,0.024104091826483157,815
AGI.NS,0.0022607513577256513,0.5697093421468641,0.03413592246225605,0.5418909696534789,1.0513357373553835,1599
AGNI.NS,0.0003071409914662039,0.07739952984948338,0.04016053695026618,0.6375287597353482,0.12140555020861112,956
AGRITECH.NS,0.001250344781189418,0.31508688485973335,0.03590295691847343,0.5699417720288795,0.5528404835779743,1599
