Symbol,Volatility_252D,ATR_Pct
GATECH,0.5968,0.0148
GATECHDVR,0.8865,0.0119
GATEWAY,0.31,0.0109
GAYAHWS,0.9003,0.0117
GAYAPROJ,0.5695,0.0303
GEECEE,0.4862,0.0102
GEEKAYWIRE,0.5183,0.0337
GENCON,0.5355,0.019
GENESYS,0.5961,0.0374
GENUSPAPER,0.551,0.0147
GENUSPOWER,0.5206,0.0127
GEOJITFSL,0.4852,0.0208
GESHIP,0.4003,0.0218
GFLLIMITED,0.4782,0.0162
GGBL,0.5789,0.0201
GHCL,0.4098,0.0175
GHCLTEXTIL,0.4215,0.0204
GICHSGFIN,0.431,0.0094
GICL,0.5394,0.0528
GICRE,0.4475,0.0198
GILLANDERS,0.5149,0.0153
GILLETTE,0.2443,0.0085
GINNIFILA,0.587,0.0267
GIPCL,0.4138,0.0234
GIRIRAJ,0.5545,0.021
GKWLIMITED,0.4961,0.0119
GLAND,0.3833,0.0153
GLAXO,0.2993,0.0115
GLENMARK,0.3732,0.0123
GLFL,0.5692,0.0168
GLOBAL,0.5541,0.0189
GLOBALE,0.4483,0.0279
GLOBALPET,0.5287,0.0228
GLOBALVECT,0.5592,0.0143
GLOBE,0.9796,0.0093
GLOBUSSPR,0.4963,0.0101
GLOSTERLTD,0.3245,0.011
GMBREW,0.4341,0.0162
GMDCLTD,0.5402,0.0232
GMMPFAUDLR,0.4044,0.0174
GMRAIRPORT,0.3878,0.0176
GMRP&UI,0.5392,0.0143
GNA,0.4499,0.0206
GNFC,0.4191,0.0157
GOACARBON,0.5171,0.0162
GOCLCORP,0.5151,0.0248
GOCOLORS,0.3759,0.0455
GODAVARIB,0.5575,0.0169
GODFRYPHLP,0.4862,0.0157
GODIGIT,0.3361,0.0118
GODREJAGRO,0.3234,0.0088
GODREJCP,0.2951,0.0105
GODREJIND,0.3572,0.0152
GODREJPROP,0.418,0.0189
GOKEX,0.5694,0.0154
GOKUL,0.5531,0.0141
GOKULAGRO,0.5531,0.0119
GOODLUCK,0.5348,0.0137
GOODYEAR,3.0,0.0096
GOPAL,0.3757,0.0078
GOYALALUM,0.4412,0.0151
GOYALSALT,0.4896,0.0137
GPECO,0.6214,0.0244
GPIL,0.5853,0.0106
GPPL,0.3742,0.0119
GPTHEALTH,0.3619,0.015
GPTINFRA,0.5821,0.009
GRANULES,0.3942,0.0081
GRAPHISAD,0.5119,0.0175
GRAPHITE,0.4665,0.02
GRASIM,0.2898,0.0073
GRAUWEIL,0.5129,0.0289
GRAVITA,0.5173,0.0147
GRCL,0.5348,0.0172
GREAVESCOT,0.4812,0.0194
GREENCHEF,0.5253,0.0391
GREENLAM,0.4208,0.0174
GREENPANEL,0.4254,0.024
GREENPLY,0.4317,0.0222
GREENPOWER,0.5367,0.0152
GRETEX,0.313,0.0118
GRINDWELL,0.3347,0.0152
GRINFRA,0.3261,0.014
GRMOVER,0.5078,0.0542
GROBTEA,0.531,0.0113
GRPLTD,0.5306,0.0157
GRSE,0.5556,0.015
GRWRHITECH,0.5555,0.0236
GSFC,0.4341,0.0097
GSLSU,0.5363,0.0282
GSMFOILS,0.5282,0.0097
GSS,0.5488,0.0181
GSTL,0.5477,0.0138
GTECJAINX,0.5402,0.0899
GTL,0.5785,0.0265
